Row Labels,Count of Building Name
Cox,41
ignore,13
6,1
8,5
10,5
14,1
76,1
Regular,18
15,1
30,1
32,1
35,2
50,1
52,7
72,4
150,1
Special,10
12,2
20,1
40,1
66,4
200,1
297,1
Dedman,95
Regular,91
6,1
8,3
10,3
12,5
14,1
15,8
17,1
18,2
19,3
20,7
21,1
22,1
23,4
24,7
25,3
26,1
27,5
29,1
30,4
31,1
32,3
35,4
38,1
39,3
40,3
44,1
45,2
49,1
55,2
57,2
65,1
75,1
94,1
104,1
149,2
196,1
Special,4
8,1
10,1
40,1
500,1
Dedman Law,20
Regular,17
12,1
17,1
20,2
26,1
29,1
30,1
33,1
42,1
45,1
50,1
60,2
64,1
121,1
131,1
140,1
Special,3
22,1
24,1
250,1
Guildhall,6
ignore,4
2,1
6,2
20,1
Special,2
30,1
56,1
Lyle,46
Regular,46
4,1
6,1
12,6
15,2
16,4
19,1
20,3
24,11
25,1
26,2
27,1
28,1
29,1
30,4
36,1
44,1
50,2
68,2
138,1
Meadows,73
Regular,68
5,3
6,2
8,4
10,2
12,2
14,4
15,3
16,4
18,10
20,13
21,1
24,1
25,4
30,1
35,1
40,1
41,1
43,1
44,2
49,1
60,1
80,1
100,1
102,1
120,1
168,1
478,1
Special,5
12,1
15,1
125,1
354,1
392,1
Other,36
ignore,4
1,1
50,1
100,1
496,1
Regular,22
1,1
5,1
10,1
12,2
14,1
16,1
20,2
23,2
25,2
32,2
35,2
39,1
49,1
62,1
100,1
112,1
Special,10
10,1
20,2
60,1
200,1
2386,1
(blank),4
Provost,5
Regular,2
25,1
30,1
Special,3
20,1
25,1
60,1
RLSH,9
Regular,9
15,3
20,3
22,1
27,1
30,1
Simmons,18
Regular,18
20,7
24,3
30,1
32,1
48,3
70,2
72,1
Theology,23
Regular,17
1,1
12,4
16,1
18,2
20,1
22,1
24,3
28,1
48,1
64,1
144,1
Special,6
8,1
10,1
12,2
16,1
18,1
(blank),1
Special,1
(blank),1
(blank),
(blank),
Grand Total,373
